rank,build,force,comm,integ,total
0,1.999674,3.365895,0.034751,0.001336,5.413461
1,1.992805,3.361853,0.045125,0.001695,5.413420
2,1.955616,3.326314,0.118952,0.001352,5.413382
3,1.959764,3.326782,0.114184,0.001645,5.413388
4,1.997699,3.376457,0.025969,0.001864,5.413403
5,1.999643,3.371200,0.029629,0.001472,5.413375
6,1.985862,3.375990,0.038412,0.001408,5.413462
7,1.982309,3.369573,0.048651,0.001334,5.413468
8,1.970475,3.333590,0.096914,0.001310,5.413463
9,1.982120,3.344687,0.074021,0.001391,5.413420
10,1.983041,3.377257,0.039380,0.001971,5.413450
11,1.981780,3.371251,0.047392,0.001331,5.413464
