rank,build,force,comm,integ,total
0,1.415320,2.439781,0.354846,0.001301,4.221844
1,1.415479,2.524504,0.270083,0.001338,4.221840
2,1.407494,2.725116,0.077089,0.001294,4.221862
3,1.404467,2.734969,0.070452,0.001382,4.221857
4,1.401028,2.780270,0.028500,0.001461,4.221904
5,1.399173,2.775127,0.035440,0.001486,4.221912
6,1.411587,2.719803,0.078348,0.001431,4.221932
7,1.411824,2.662061,0.135959,0.001394,4.221930
8,1.406600,2.485092,0.318179,0.001432,4.221823
9,1.413747,2.395036,0.401040,0.001429,4.221893
10,1.409201,2.055682,0.745120,0.001374,4.221944
11,1.412455,1.646341,1.151119,0.001253,4.221926
